iter	RMSE
0	3.538598794
1	3.536496568
2	3.534659684
3	3.532771932
4	3.53058155
5	3.528510523
6	3.526692826
7	3.524461001
8	3.522590587
9	3.520474064
10	3.518257335
11	3.516227254
12	3.514493283
13	3.512644412
14	3.510792899
15	3.508521968
16	3.506315056
17	3.504159241
18	3.501829321
19	3.499485601
20	3.497183729
21	3.495076274
22	3.492819606
23	3.490576926
24	3.488485165
25	3.486255873
26	3.484171985
27	3.482235773
28	3.480432777
29	3.478325835
30	3.476286532
31	3.474326311
32	3.472030177
33	3.469980091
34	3.467711588
35	3.465593542
36	3.463714279
37	3.461584833
38	3.45951552
39	3.457880766
40	3.455861711
41	3.453606179
42	3.451478099
43	3.449354977
44	3.44724631
45	3.445122386
46	3.443030855
47	3.440979938
48	3.439032295
49	3.436899931
50	3.434758267
51	3.432583703
52	3.430592931
53	3.428335434
54	3.426169596
55	3.424363386
56	3.422206744
57	3.420269694
58	3.418100456
59	3.415920108
60	3.413808744
61	3.411857699
62	3.409605844
63	3.40742052
64	3.405390051
65	3.403454097
66	3.401257666
67	3.399317865
68	3.397279601
69	3.395327894
70	3.393378486
71	3.391169239
72	3.389487093
73	3.387395714
74	3.385152619
75	3.383370565
76	3.381545416
77	3.379426965
78	3.37723232
79	3.375188699
80	3.372895624
81	3.37108552
82	3.369388073
83	3.367284792
84	3.365044254
85	3.362841397
86	3.36074624
87	3.358472201
88	3.356276812
89	3.354272774
90	3.352469565
91	3.350702214
92	3.348576913
93	3.346336134
94	3.344222048
95	3.34247763
96	3.340388546
97	3.338195885
98	3.336047216
99	3.334401792
100	3.332358095
101	3.330469278
102	3.328338573
103	3.326245013
104	3.324424942
105	3.322898734
106	3.320902889
107	3.31888717
108	3.317199486
109	3.315177825
110	3.313367832
111	3.311399785
112	3.309580387
113	3.30769903
114	3.305554661
115	3.30374936
116	3.301702457
117	3.299535291
118	3.29781766
119	3.29574283
120	3.293828579
121	3.2917072
122	3.289912056
123	3.287868476
124	3.286386767
125	3.284353139
126	3.282307084
127	3.280353916
128	3.278430262
129	3.276500513
130	3.274530673
131	3.2726193
132	3.270594402
133	3.268654303
134	3.266565449
135	3.264487458
136	3.262854343
137	3.260744507
138	3.258777312
139	3.257098183
140	3.255155039
141	3.253193584
142	3.251327553
143	3.249261297
144	3.247271539
145	3.245420608
146	3.243551783
147	3.241605846
148	3.239832352
149	3.237976102
150	3.235838442
151	3.234006876
152	3.23201519
153	3.23026291
154	3.228636714
155	3.226636389
156	3.224716206
157	3.222798556
158	3.22081376
159	3.218794077
160	3.217022322
161	3.214918542
162	3.213275471
163	3.211160331
164	3.209318941
165	3.207584077
166	3.205738598
167	3.204154103
168	3.202324113
169	3.200365448
170	3.198413771
171	3.196356982
172	3.194323557
173	3.192407469
174	3.190536652
175	3.188892403
176	3.187053922
177	3.185034794
178	3.183155532
179	3.181304984
180	3.179869981
181	3.178267298
182	3.176240546
183	3.174445865
184	3.172722682
185	3.170904659
186	3.168909455
187	3.166914339
188	3.165072097
189	3.163169338
190	3.16109944
191	3.159387051
192	3.15751248
193	3.155401775
194	3.153627354
195	3.151731102
196	3.149822121
197	3.14786622
198	3.145897494
199	3.144156955
