iter	MAPE
0	0.02010680972
1	0.01868893056
2	0.01755676747
3	0.01642081166
4	0.01557000451
5	0.01469306368
6	0.01401497804
7	0.01335864119
8	0.0128447194
9	0.01229431691
10	0.01142993694
11	0.01084337926
12	0.01043545651
13	0.009903793457
14	0.00947288675
15	0.008727989229
16	0.008192612107
17	0.007936712195
18	0.007734232612
19	0.007526126873
20	0.007318475631
21	0.00676682797
22	0.006548560714
23	0.006372927915
24	0.006219842499
25	0.005897115175
26	0.005669448141
27	0.005300279592
28	0.005151684665
29	0.005098279659
30	0.00501664944
31	0.004861994532
32	0.004760086236
33	0.004529836302
34	0.004454345763
35	0.004418553095
36	0.004272833804
37	0.004132113932
38	0.004000524986
39	0.003902455706
40	0.003776832955
41	0.003715895091
42	0.003610683016
43	0.003517550257
44	0.003455469521
45	0.003418855201
46	0.003289394224
47	0.003210447232
48	0.003146022777
49	0.003080669483
50	0.00294737865
51	0.002899497347
52	0.002854702323
53	0.002819252002
54	0.002786450814
55	0.0027551689
56	0.002718764935
57	0.002682504318
58	0.002555483002
59	0.002503797376
60	0.002480103086
61	0.002411045694
62	0.002349410638
63	0.002319032979
64	0.00229727597
65	0.002245935256
66	0.002188341441
67	0.002108859362
68	0.002086863311
69	0.002048860996
70	0.002014216511
71	0.001987068963
72	0.00195706103
73	0.001948412264
74	0.001933296865
75	0.00190700911
76	0.001886649463
77	0.001876387661
78	0.001860351986
79	0.001853516023
80	0.001844250273
81	0.001831661576
82	0.001823608101
83	0.001812767972
84	0.001801796246
85	0.001795642807
86	0.001793356657
87	0.001785063201
88	0.001782426383
89	0.001776920481
90	0.001772930542
91	0.00176946353
92	0.001765752369
93	0.001763266708
94	0.001755748098
95	0.001751502346
96	0.001749245889
97	0.001747773862
98	0.001747143289
99	0.001744968326
100	0.001743498055
101	0.001734620064
102	0.001733431483
103	0.001729868588
104	0.001721310765
105	0.001710235513
106	0.001706941051
107	0.001701200839
108	0.0016987
109	0.00169366635
110	0.00168828595
111	0.001683706414
112	0.001681995899
113	0.001681252037
114	0.001678944333
115	0.001678386524
116	0.001676643713
117	0.001674861534
118	0.001667780904
119	0.001666900056
120	0.001665284499
121	0.001664576295
122	0.001662103622
123	0.001660325532
124	0.001657921556
125	0.001648197338
126	0.001643548885
127	0.001639397826
128	0.001638355853
129	0.001636441623
130	0.001628948667
131	0.001627172983
132	0.001624596073
133	0.001622704093
134	0.001613361721
135	0.001608517201
136	0.001605130853
137	0.001604175417
138	0.00160332079
139	0.001601736601
140	0.001600310832
141	0.001599687794
142	0.00159942914
143	0.001598234116
144	0.001597158595
145	0.001596969961
146	0.001596555567
147	0.001596402773
148	0.001596265258
149	0.001595921334
150	0.001595612275
151	0.001593942743
152	0.00157234741
153	0.001571598976
154	0.001528099601
155	0.001512964361
156	0.001466259989
157	0.001450479161
158	0.001450211459
159	0.001449973285
160	0.001430833009
161	0.00143062381
162	0.001429932988
163	0.001429878884
164	0.001429831731
165	0.001429361425
166	0.001429201194
167	0.001428651397
168	0.001428616971
169	0.001428125596
170	0.001428013117
171	0.001427582128
172	0.001427201598
173	0.001426724784
174	0.001426206974
175	0.001425740945
176	0.001425321723
177	0.001423684832
178	0.001423260334
179	0.001423075382
180	0.001422704594
181	0.001422438445
182	0.001421814652
183	0.001421516829
184	0.001421248978
185	0.001420855823
186	0.001420817364
187	0.001420327113
188	0.001419837454
189	0.001419653754
190	0.001417143634
191	0.001413375598
192	0.001400750998
193	0.001398685675
194	0.001388410662
195	0.00138732387
196	0.001387265121
197	0.001387083949
198	0.00138693033
199	0.001386433905
